80,Region 6,BTS HIMALAYA - MORELOS,SAN LUIS POTOSI,
51,Region 4,BTS Hipico - MC Muguerza Valle Alto,ZONA SAN PEDRO,
5,Region 8,BTS Hotel Jerusalem - RB La Costa,CANCUN,
47,Region 3,BTS Huelguistas - RB Fuentes,TORREON,
19,Region 2,BTS Huerta - BTS Olivos,HERMOSILLO,
25,Region 9,BTS Huitzilac - BTS Santa Maria Ahuacatitlan,CIVAC,
42,Region 7,BTS Hylsa - RB Xoxtla,PUEBLA - TLAXCALA,
38,Region 1,BTS Hyson - RB Seminario,R1- OTAY - T,
127,Region 9,BTS Independencia - RB Bello Horizonte,CUAUTITLAN,
61,Region 3,BTS Industrial Armas - RB Forestal,DURANGO,
43,Region 7,BTS Industrial Huejotzingo - RB Xalmimilulco,PUEBLA - TLAXCALA,
104,Region 9,BTS Infonavit Xochinahuac - RB Tezozomoc,NEXTENGO,
54,Region 1,BTS Insurgentes - RB Pinos,MEXICALI,
74,Region 1,BTS Irapuato - RB Ejido Monterrey,MEXICALI,
41,Region 2,BTS Islas - RB Serdan,OBREGON,
54,Region 2,BTS ISSSTESIN - RB Escobedo II,CULIACAN,
78,Region 5,BTS Ixtapa - RB Puerto Vallarta II,VALLARTA - NAYARIT,
8,Region 6,BTS IXTLA - RB LA PRESA,ENLACE,
82,Region 5,BTS J. Adrián Villaseñor- RB La Playita,VALLARTA - NAYARIT,
59,Region 2,BTS Jahuara - BTS El Carrizo,CULIACAN,
34,Region 9,BTS Jardin Rejon - RB Parque las Americas,PORTALES,
28,Region 9,BTS Jardines de Palmira - BTS Acapatzingo,CIVAC,
96,Region 5,BTS Jardines del Valle - RB Tepic,VALLARTA - NAYARIT,
31,Region 9,BTS Jardines las Delicias - RB Flores Magón,CIVAC,
53,Region 1,BTS Jauja - RB Villa Floresta,R1- OTAY - T,
161,Region 9,BTS Jimenez Gallardo - RB Fracc. San Gabriel,TOLLOCAN,
79,Region 6,BTS JUANA DE ARCO - RB LAGO,SAN LUIS POTOSI,
17,Region 2,BTS Juarez - RB Reforma,HERMOSILLO,
147,Region 9,BTS Junta de Caminos - RB Blvd Alfredo del Mazo Velez,TOLLOCAN,
22,Region 4,BTS Kalos - RB Pueblo Nuevo,ZONA GUADALUPE,
69,Region 5,BTS La Cantera - RB Panteón Nuevo,TLAQUEPAQUE - BANDERAS,
17,Region 5,BTS La Capacha - RB Colima dos,COLIMA,
79,Region 5,BTS La Desembocada - BTS Ixtapa,VALLARTA - NAYARIT,
100,Region 1,BTS La Escondida - RB Puesta del Sol,LA PAZ,
91,Region 4,BTS La Esperanza - BTS Lopez Portillo,ZONA REYNOSA,
32,Region 4,BTS La Expropiacion - RB Cadereyta,ZONA GUADALUPE,
20,Region 8,BTS La Finca - RB Manglares,VILLAHERMOSA,
47,Region 2,BTS La Gloria - BTS Guamuchil,CULIACAN,
45,Region 5,BTS La Goleta - BTS Atapaneo,MORELIA,
83,Region 5,BTS La Higuera- RB La Playita,VALLARTA - NAYARIT,
47,Region 5,BTS La Huerta - RB Colinas del Sur,MORELIA,
65,Region 7,BTS La Libertad - RB Rancho Colorado,PUEBLA - TLAXCALA,
31,Region 5,BTS La Magdalena - BTS Capiz,URUAPAN,
35,Region 5,BTS La Magdalena - BTS Tuminez,URUAPAN,
51,Region 5,BTS La Normal- RB Fidel Velazquez,MORELIA,
51,Region 3,BTS La Opinion - BTS Reforma,TORREON,
66,Region 2,BTS La Paloma - BTS Central,MAZATLAN,
55,Region 5,BTS La Pradera - RB Zamora III,MORELIA,
65,Region 9,BTS La Ronda - Maza,MALINCHE,
9,Region 1,BTS La Sierra - RB Aurora,LOMAS,
16,Region 4,BTS La Turbina - RB Sabinas Hialgo,ZONA ANÁHUAC,
8,Region 5,BTS La Vega - RB Tala,FUENTES - VALLARTA,
14,Region 2,BTS La Victoria - BTS San Luis,HERMOSILLO,
49,Region 3,BTS Las Americas - RB Fresno,TORREON,
60,Region 4,BTS Las Compuertas - BTS El Caiman,ZONA TAMPICO,
69,Region 2,BTS Las Conchas - RB Marina,MAZATLAN,
5,Region 1,BTS Las Cumbres - RB Panamericano,LOMAS,
107,Region 5,BTS Las Flores - RB Tepic 4 (Obrera),VALLARTA - NAYARIT,
27,Region 8,BTS Las Granjas - RB Tuxtla Norte,TUXTLA,
7,Region 7,BTS Las Hortalizas - RB Rio Medio,VERACRUZ,
39,Region 2,BTS Las Juntas - RB Cerro El Vigia,OBREGON,
29,Region 2,BTS Las Minitas - BTS Paseo San Angel,HERMOSILLO,
10,Region 5,BTS Las Pintas - RB Seminario de Gpe,FUENTES - VALLARTA,
9,Region 8,BTS Lázaro Cárdenas - RB Pacabtun,MÉRIDA,
80,Region 5,BTS Lazaro Cardenas - RB Pto. Vallarta Versalles,VALLARTA - NAYARIT,
59,Region 7,BTS Leobardo Coca - RB Autopista Atlixco,PUEBLA - TLAXCALA,
35,Region 6,BTS LEON MODERNO - RB SAN SEBASTIAN,LEON,
8,Region 8,BTS Libertad - RB Kukulcan,MÉRIDA,
93,Region 6,BTS LIBRAMIENTO - BTS MEZQUITAL,SAN LUIS POTOSI,
63,Region 2,BTS Libramiento - RB Madero,MAZATLAN,
96,Region 6,BTS LIBRAMIENTO - RB PAISANO,SAN LUIS POTOSI,
